planning-authorities,name,organisations,local-plan-event,start-date,type,planning-authorities-listed,curie-organisations,geography-codes
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,plan-adopted,2012-03-30,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,planning-inspectorate-found-sound,2012-01-13,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,reg-19-publication-local-plan-published,2011-04-11,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,submit-plan-for-examination,2011-07-29,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,plan-adopted,2014-01-30,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,planning-inspectorate-found-sound,2013-10-04,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,reg-19-publication-local-plan-published,2011-12-05,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,submit-plan-for-examination,2012-08-10,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,plan-adopted,2017-10-17,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,planning-inspectorate-found-sound,2017-07-25,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,reg-19-publication-local-plan-published,2015-12-14,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,submit-plan-for-examination,2016-05-11,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,plan-adopted,2017-10-17,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,reg-19-publication-local-plan-published,2015-12-14,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,submit-plan-for-examination,2016-05-11,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
Buckinghamshire County Council,M&W Local Plan,,plan-adopted,2019-07-25,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,M&W Local Plan,,planning-inspectorate-examination-end,2018-09-25,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,M&W Local Plan,,planning-inspectorate-examination-start,2018-09-24,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,M&W Local Plan,,reg-19-publication-local-plan-published,2018-03-03,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,M&W Local Plan,,submit-plan-for-examination,2018-06-01,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Core Strategy,,plan-adopted,2012-11-22,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Core Strategy,,planning-inspectorate-found-sound,2012-09-03,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Core Strategy,,reg-19-publication-local-plan-published,2011-09-05,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Core Strategy,,submit-plan-for-examination,2011-11-11,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Local Plan,,planning-inspectorate-found-sound,2019-06-05,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Local Plan,,reg-19-publication-local-plan-published,2018-03-03,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Buckinghamshire County Council,Minerals & Waste Local Plan,,submit-plan-for-examination,2018-06-01,M;W,Buckinghamshire County Council,local-authority:BKM,NONE
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,plan-adopted,2011-07-19,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,planning-inspectorate-found-sound,2011-03-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,reg-19-publication-local-plan-published,2010-02-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,submit-plan-for-examination,2010-07-29,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,plan-adopted,2012-02-22,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,planning-inspectorate-found-sound,2011-10-20,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,reg-19-publication-local-plan-published,2010-02-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,NONE-E60000146
